word_count,date
11,2021-10-05 08:51:39
20,2021-10-05 08:51:34
26,2021-10-05 08:46:59
26,2021-10-05 08:45:39
19,2021-10-05 08:45:31
4,2021-10-05 08:45:09
13,2021-10-05 08:45:07
23,2021-10-05 08:45:01
22,2021-10-05 08:44:56
5,2021-10-05 08:44:20
21,2021-10-05 08:43:46
20,2021-10-05 08:43:40
2,2021-10-05 08:43:05
4,2021-10-05 08:42:43
34,2021-10-05 08:41:46
24,2021-10-05 08:41:29
7,2021-10-05 08:41:22
24,2021-10-05 08:41:17
19,2021-10-05 08:40:51
26,2021-10-05 08:40:46
24,2021-10-05 08:40:09
4,2021-10-05 01:39:10
0,2021-08-20 23:13:11
77,2021-08-20 01:12:37
64,2021-08-20 01:11:48
89,2021-08-20 01:11:30
49,2021-08-20 01:08:53
49,2021-08-20 01:08:40
35,2021-08-20 01:07:29
31,2021-08-20 01:02:13
64,2021-08-20 01:02:06
26,2021-08-20 01:01:44
32,2021-08-20 01:00:47
30,2021-08-20 01:00:38
41,2021-08-13 16:03:28
18,2021-08-07 11:55:26
0,2021-08-07 11:55:20
0,2021-08-05 16:40:37
0,2021-08-05 00:09:03
9,2021-08-04 23:55:03
0,2021-08-04 23:55:00
37,2021-08-04 23:50:05
7,2021-08-04 19:48:43
2,2021-08-04 19:44:35
5,2021-08-04 19:43:12
0,2021-08-04 19:43:10
0,2021-08-04 19:39:55
0,2021-08-04 19:39:21
18,2021-08-04 19:38:08
44,2021-08-04 19:38:05
0,2021-08-04 19:37:48
0,2021-08-04 19:36:31
33,2021-08-04 19:36:20
23,2021-08-04 19:34:45
45,2021-08-04 19:34:41
25,2021-08-04 15:30:37
28,2021-08-04 15:29:21
37,2021-08-04 15:29:15
0,2021-08-04 15:20:10
37,2021-08-04 15:17:09
11,2021-08-04 15:16:46
33,2021-08-04 15:16:35
8,2021-08-04 15:15:53
49,2021-08-04 15:15:51
20,2021-08-04 15:15:32
52,2021-08-04 15:14:53
47,2021-08-04 15:14:36
77,2021-08-04 15:14:28
34,2021-08-04 15:14:06
26,2021-08-04 15:13:59
99,2021-08-04 15:13:54
0,2021-08-04 15:12:19
5,2021-08-04 14:11:31
14,2021-08-04 14:07:06
72,2021-08-04 13:58:19
36,2021-08-04 13:58:06
26,2021-08-04 13:57:48
64,2021-08-04 13:57:43
52,2021-08-04 13:56:59
34,2021-08-04 13:56:46
43,2021-08-04 13:56:40
14,2021-08-04 13:56:31
23,2021-08-04 13:56:28
31,2021-08-04 13:56:22
0,2021-08-04 13:54:50
30,2021-08-04 13:53:41
35,2021-08-04 13:53:26
32,2021-08-04 13:49:36
23,2021-08-04 13:49:31
37,2021-08-04 13:49:28
36,2021-08-04 13:49:14
6,2021-08-04 13:48:36
30,2021-08-04 13:48:21
86,2021-08-04 13:48:17
13,2021-08-04 13:47:53
0,2021-08-04 13:47:32
44,2021-08-04 13:45:58
42,2021-08-04 13:45:41
50,2021-08-04 13:45:30
5,2021-08-04 13:45:21
60,2021-08-04 13:43:53
15,2021-08-04 13:42:54
13,2021-08-04 13:42:45
21,2021-08-04 13:42:41
27,2021-08-04 13:42:31
43,2021-08-04 13:42:26
24,2021-08-04 13:42:14
5,2021-08-04 13:42:07
19,2021-08-04 13:42:04
23,2021-08-04 13:41:37
23,2021-08-04 13:41:34
0,2021-08-04 13:40:06
7,2021-08-04 13:21:01
42,2021-08-04 13:20:59
20,2021-08-04 13:20:21
23,2021-08-04 11:42:34
25,2021-08-03 19:09:02
39,2021-08-03 19:08:56
43,2021-08-03 19:07:30
15,2021-08-03 19:07:18
60,2021-08-03 19:07:16
26,2021-08-03 19:06:53
28,2021-08-03 19:06:47
25,2021-08-03 19:06:40
19,2021-08-03 19:06:07
4,2021-08-03 19:05:58
39,2021-08-03 19:05:36
22,2021-08-03 18:51:33
9,2021-08-03 18:51:25
51,2021-08-03 17:44:13
