"ts","artistName","trackName","ms_played"
"2021-01-11 02:08","Kanye West","Feedback",1173
"2021-01-11 02:08","Quebonafide","Kyrie eleison",1941
"2021-01-11 02:08","Chamillionaire","Hip Hop Police - Main",2069
"2021-01-11 02:08","Lil Jon","Snap Yo Fingers",1877
"2021-01-11 02:09","Drake","Pain 1993 (with Playboi Carti)",1664
"2021-01-11 02:09","Jay Sean","Down",1578
"2021-01-11 02:09","T.I.","Live Your Life",1920
"2021-01-11 14:31","50 Cent","Disco Inferno",0
"2021-01-11 14:37","T.I.","Live Your Life",338853
"2021-01-11 16:25","50 Cent","Disco Inferno",98038
"2021-01-11 16:26","KRS-One","Sound of da Police",81060
"2021-01-11 16:27","Pitbull","Hey Baby (Drop It to the Floor) (feat. T-Pain)",3134
"2021-01-11 16:27","Kanye West","I Wonder",2461
"2021-01-11 16:27","Nelly","Hot In Herre",2438
"2021-01-11 16:27","Baby Bash","Cyclone (feat. T-Pain)",48692
"2021-01-11 16:27","T.I.","Dead And Gone",2856
"2021-01-11 16:27","Dr. Dre","The Next Episode",3111
"2021-01-11 16:31","Wiz Khalifa","Roll Up",227773
"2021-01-11 18:30","Lordofon","Harakiri",181007
"2021-01-11 19:04","Chamillionaire","Ridin'",194914
"2021-01-11 19:05","Chamillionaire","Ridin'",58700
"2021-01-11 19:08","Wiz Khalifa","Roll Up",39718
"2021-01-11 19:08","Chris Brown","Gimme That",186826
"2021-01-11 19:12","Afroman","Because I Got High - Extended Version",227067
"2021-01-11 19:12","Baby Bash","Cyclone (feat. T-Pain)",3041
"2021-01-11 19:14","Kanye West","Real Friends",110341
"2021-01-11 21:56","Kanye West","Real Friends",141225
"2021-01-11 21:57","Iyaz","Replay",882
"2021-01-11 21:57","Kanye West","Feedback",10133
"2021-01-11 22:01","Kanye West","Can't Tell Me Nothing",271600
"2021-01-11 22:03","LMFAO","I'm In Miami Bitch",138405
"2021-01-12 14:40","The Kid LAROI","WITHOUT YOU",30016
